,country,company,total_pack_size_ml_g,unit_pack_size_ml_g,price_per_100g_ml_dollars,ingredients
102,France,Brand 64,75.0,75.0,5.25,24
103,Singapore,Brand 20,160.0,160.0,1.35,19
104,Thailand,Brand 65,25.0,25.0,9.04,19
105,India,Brand 66,380.0,380.0,0.3,19
106,India,Brand 67,75.0,75.0,1.65,3
107,India,Brand 68,200.0,200.0,0.6,22
108,India,Brand 69,75.0,75.0,5.55,34
109,Ireland,Brand 0,75.0,75.0,4.57,29
110,Ireland,Brand 0,100.0,100.0,5.73,25
111,Ireland,Brand 70,75.0,75.0,4.19,22
112,India,Brand 71,70.0,70.0,3.0,27
113,China,Brand 72,120.0,120.0,0.86,4
114,China,Brand 73,120.0,120.0,1.58,26
115,China,Brand 74,100.0,100.0,1.17,19
116,China,Brand 0,110.0,110.0,3.99,20
117,China,Brand 75,138.0,138.0,1.05,26
118,Poland,Brand 21,100.0,100.0,2.07,24
119,Switzerland,Brand 76,75.0,75.0,5.05,33
120,Australia,Brand 77,110.0,110.0,3.06,19
121,Italy,Brand 78,125.0,125.0,1.1,20
122,China,Brand 79,220.0,220.0,0.99,29
123,South Africa,Brand 80,110.0,110.0,0.84,35
124,South Africa,Brand 81,170.0,170.0,1.45,22
125,Italy,Brand 8,75.0,75.0,1.89,36
126,Italy,Brand 1,75.0,75.0,5.08,27
127,Czech Republic,Brand 24,75.0,75.0,5.92,31
128,Philippines,Brand 0,90.0,90.0,1.58,20
129,France,Brand 0,75.0,75.0,4.33,36
130,India,Brand 8,125.0,125.0,0.48,32
131,Italy,Brand 0,75.0,75.0,3.53,25
132,Thailand,Brand 82,40.0,40.0,1.53,26
133,Germany,Brand 5,25.0,25.0,5.2,27
134,Russia,Brand 52,40.0,40.0,2.3,27
135,New Zealand,Brand 21,120.0,120.0,1.16,17
136,Italy,Brand 24,75.0,75.0,4.12,36
137,Italy,Brand 83,125.0,125.0,1.8,24
138,China,Brand 20,130.0,130.0,2.23,31
139,Germany,Brand 84,50.0,50.0,5.34,18
140,New Zealand,Brand 0,110.0,110.0,5.89,42
141,Spain,Brand 85,50.0,50.0,12.9,28
142,Colombia,Brand 31,113.4,113.4,4.36,33
143,Vietnam,Brand 86,50.0,50.0,0.86,16
144,Brazil,Brand 5,70.0,70.0,6.71,30
145,Hong Kong - China,Brand 64,75.0,75.0,8.57,20
146,Philippines,Brand 1,170.0,170.0,0.71,23
147,Vietnam,Brand 10,45.0,45.0,1.2,11
148,China,Brand 87,95.0,95.0,1.06,18
149,Japan,Brand 20,50.0,50.0,17.32,32
150,Chile,Brand 0,90.0,90.0,1.46,19
151,China,Brand 88,120.0,120.0,1.08,14
152,India,Brand 89,40.0,40.0,37.63,22
153,South Africa,Brand 9,50.0,50.0,9.34,19
154,France,Brand 90,75.0,75.0,9.97,23
155,China,Brand 13,105.0,105.0,1.05,13
156,New Zealand,Brand 21,140.0,140.0,2.54,20
157,Germany,Brand 43,125.0,125.0,1.08,19
158,UK,Brand 8,75.0,75.0,3.95,30
159,Germany,Brand 91,50.0,50.0,9.42,28
160,India,Brand 92,100.0,100.0,0.53,1
161,Czech Republic,Brand 21,20.0,20.0,9.45,25
162,Spain,Brand 93,75.0,75.0,3.53,25
163,Chile,Brand 1,120.0,120.0,1.97,27
164,China,Brand 94,50.0,50.0,1.44,7
165,Spain,Brand 42,75.0,75.0,7.61,27
166,Singapore,Brand 95,110.0,110.0,8.19,16
167,India,Brand 96,100.0,100.0,0.66,11
168,Spain,Brand 97,100.0,100.0,11.15,21
169,India,Brand 67,100.0,100.0,1.3,2
170,Brazil,Brand 21,107.7,107.7,3.16,24
171,Sweden,Brand 98,75.0,75.0,2.93,19
172,Vietnam,Brand 99,150.0,150.0,1.29,20
173,Germany,Brand 9,50.0,50.0,8.86,23
174,South Korea,Brand 9,242.0,121.0,5.67,5
175,South Africa,Brand 100,100.0,100.0,0.88,8
176,India,Brand 101,5.0,5.0,13.8,0
177,Austria,Brand 102,75.0,75.0,4.55,21
178,Brazil,Brand 103,90.0,90.0,0.61,18
179,Portugal,Brand 93,75.0,75.0,3.68,24
180,Greece,Brand 104,75.0,75.0,2.69,20
181,France,Brand 41,50.0,50.0,14.98,9
182,USA,Brand 105,147.42,147.42,3.38,26
183,Russia,Brand 21,75.0,75.0,1.81,42
184,Russia,Brand 57,130.0,65.0,0.62,24
185,Thailand,Brand 6,160.0,160.0,1.11,31
186,South Africa,Brand 21,75.0,75.0,2.27,21
187,Greece,Brand 0,75.0,75.0,6.71,18
188,France,Brand 21,75.0,75.0,2.43,24
189,China,Brand 106,60.0,60.0,4.38,7
190,Vietnam,Brand 0,250.0,250.0,0.46,28
191,Australia,Brand 107,110.0,110.0,1.63,23
192,South Africa,Brand 66,100.0,100.0,1.86,28
193,Turkey,Brand 5,75.0,75.0,6.16,27
194,France,Brand 0,100.0,100.0,4.09,25
195,Russia,Brand 108,50.0,50.0,29.86,25
196,South Africa,Brand 46,100.0,100.0,0.91,20
197,Norway,Brand 0,75.0,75.0,4.81,26
198,Brazil,Brand 109,50.0,50.0,5.48,27
199,Japan,Brand 20,85.0,85.0,19.29,32
200,Japan,Brand 20,130.0,130.0,2.97,38
201,Brazil,Brand 110,50.0,50.0,9.88,14
202,Israel,Brand 111,100.0,100.0,6.89,38
203,Sweden,Brand 0,75.0,75.0,7.05,7
204,Russia,Brand 112,50.0,50.0,17.06,30
205,USA,Brand 0,28.35,28.35,3.49,36
206,Malaysia,Brand 113,120.0,120.0,2.33,31
207,Vietnam,Brand 114,100.0,100.0,4.61,33
208,Austria,Brand 115,75.0,75.0,13.67,29
209,Mexico,Brand 5,75.0,75.0,2.63,36
210,Mexico,Brand 31,75.0,75.0,8.61,22
211,Mexico,Brand 5,100.0,100.0,0.9,32
212,USA,Brand 56,170.1,170.1,1.88,32
213,Australia,Brand 21,90.0,90.0,2.27,25
214,Australia,Brand 116,110.0,110.0,2.61,16
215,South Africa,Brand 21,100.0,100.0,0.86,19
216,Russia,Brand 112,74.0,74.0,6.43,20
217,Vietnam,Brand 5,232.0,232.0,2.15,34
218,Hong Kong - China,Brand 5,100.0,100.0,2.69,26
219,USA,Brand 5,164.43,164.43,1.82,31
220,Sweden,Brand 0,75.0,75.0,3.84,30
221,Vietnam,Brand 117,200.0,200.0,0.26,19
222,Vietnam,Brand 118,130.0,130.0,3.05,17
223,Singapore,Brand 9,100.0,100.0,5.8,36
224,South Africa,Brand 21,75.0,75.0,2.48,22
225,Brazil,Brand 119,60.0,60.0,6.1,39
226,Colombia,Brand 21,107.7,107.7,2.79,29
227,Argentina,Brand 0,90.0,30.0,2.59,30
228,Poland,Brand 24,75.0,75.0,3.29,30
229,Vietnam,Brand 0,150.0,150.0,0.51,31
230,France,Brand 120,100.0,100.0,1.35,33
231,USA,Brand 121,28.35,28.35,11.46,32
232,India,Brand 0,240.0,240.0,0.5,14
233,Russia,Brand 122,75.0,75.0,1.37,52
234,Russia,Brand 123,75.0,75.0,19.81,16
235,Czech Republic,Brand 124,90.0,90.0,1.34,20
236,Netherlands,Brand 125,75.0,75.0,16.93,18
237,Australia,Brand 0,110.0,110.0,7.45,25
238,Australia,Brand 0,100.0,100.0,3.65,23
239,Australia,Brand 0,110.0,110.0,4.95,21
240,Spain,Brand 126,50.0,50.0,12.7,15
241,Spain,Brand 0,50.0,50.0,5.68,23
242,Spain,Brand 127,75.0,75.0,1.73,20
243,Russia,Brand 53,75.0,75.0,1.07,19
244,Colombia,Brand 21,121.9,121.9,2.53,26
245,Mexico,Brand 5,100.0,100.0,3.96,30
246,Sweden,Brand 21,125.0,125.0,2.44,35
247,Italy,Brand 21,75.0,75.0,4.57,23
248,Vietnam,Brand 10,175.0,175.0,0.58,22
249,France,Brand 128,75.0,75.0,4.68,28
250,Indonesia,Brand 1,160.0,160.0,0.76,21
251,Indonesia,Brand 129,160.0,160.0,0.48,43
252,Indonesia,Brand 0,160.0,160.0,2.46,34
253,Brazil,Brand 0,90.0,90.0,1.71,22
254,Spain,Brand 32,100.0,100.0,9.88,25
255,Italy,Brand 130,75.0,75.0,2.87,24
256,Philippines,Brand 131,85.0,85.0,0.99,34
257,Thailand,Brand 20,90.0,90.0,0.92,22
258,South Korea,Brand 131,40.0,40.0,10.8,6
259,Belgium,Brand 24,75.0,75.0,3.59,37
260,Indonesia,Brand 129,75.0,75.0,1.16,35
261,Germany,Brand 132,20.0,20.0,4.4,23
262,France,Brand 128,75.0,75.0,5.56,25
263,Brazil,Brand 133,50.0,50.0,13.12,16
264,Greece,Brand 21,100.0,100.0,4.29,24
265,Austria,Brand 0,50.0,50.0,6.74,25
266,Austria,Brand 5,75.0,75.0,2.87,30
267,Austria,Brand 1,50.0,50.0,4.58,21
268,Austria,Brand 15,125.0,125.0,1.62,24
269,Hong Kong - China,Brand 21,100.0,100.0,5.52,24
270,Indonesia,Brand 129,50.0,50.0,1.32,29
271,Czech Republic,Brand 59,125.0,125.0,1.46,31
272,Australia,Brand 0,160.0,160.0,2.85,21
273,Australia,Brand 134,181.44,181.44,1.0,27
274,Thailand,Brand 135,50.0,50.0,0.5,2
275,Colombia,Brand 31,113.0,113.0,3.27,38
276,Australia,Brand 136,75.0,75.0,2.43,23
277,Brazil,Brand 0,50.0,50.0,5.72,33
278,Vietnam,Brand 0,75.0,75.0,3.43,20
279,Taiwan - China,Brand 137,280.0,140.0,0.98,7
280,Vietnam,Brand 138,75.0,75.0,3.49,26
281,Turkey,Brand 139,50.0,50.0,11.68,21
282,Vietnam,Brand 0,160.0,160.0,0.72,16
283,Malaysia,Brand 0,160.0,160.0,1.83,27
284,Japan,Brand 31,85.0,85.0,11.09,24
285,Japan,Brand 31,140.0,140.0,2.28,28
286,Japan,Brand 31,100.0,100.0,4.26,30
287,South Africa,Brand 140,75.0,75.0,6.88,15
288,Vietnam,Brand 0,160.0,160.0,0.66,28
289,Netherlands,Brand 91,75.0,75.0,8.17,31
290,Switzerland,Brand 0,75.0,75.0,5.4,26
291,USA,Brand 5,116.23,116.23,3.35,38
292,China,Brand 141,40.0,40.0,0.38,27
293,Switzerland,Brand 76,75.0,75.0,4.99,18
294,Russia,Brand 142,75.0,75.0,0.93,19
295,Indonesia,Brand 129,160.0,160.0,1.06,11
296,USA,Brand 0,113.4,113.4,3.34,38
297,Poland,Brand 5,75.0,75.0,3.0,23
298,Turkey,Brand 0,50.0,50.0,11.12,20
299,Australia,Brand 0,122.0,122.0,9.01,4
300,Japan,Brand 143,100.0,100.0,7.69,42
301,Canada,Brand 144,100.0,100.0,2.88,19
302,Vietnam,Brand 0,160.0,160.0,0.46,28
303,Vietnam,Brand 1,150.0,150.0,0.55,20
304,Vietnam,Brand 5,221.0,221.0,2.73,35
305,Chile,Brand 0,35.0,35.0,12.14,35
306,China,Brand 145,110.0,110.0,0.37,2
307,China,Brand 146,120.0,120.0,2.92,17
308,Sweden,Brand 147,50.0,50.0,3.98,26
309,Brazil,Brand 118,130.0,130.0,8.72,16
310,Argentina,Brand 25,70.0,70.0,0.74,25
311,Australia,Brand 0,640.0,160.0,2.56,24
312,Finland,Brand 1,75.0,75.0,6.09,29
313,Finland,Brand 148,75.0,75.0,26.05,15
314,Australia,Brand 21,680.0,170.0,1.88,20
315,Australia,Brand 149,150.0,150.0,5.73,15
316,Australia,Brand 150,75.0,75.0,16.05,55
317,Australia,Brand 151,170.0,170.0,6.15,18
318,Australia,Brand 152,100.0,100.0,8.04,41
319,China,Brand 141,40.0,40.0,1.48,28
320,USA,Brand 9,42.53,42.53,8.68,19
321,China,Brand 0,190.0,190.0,0.23,37
322,India,Brand 134,119.0,119.0,1.36,7
323,Vietnam,Brand 0,150.0,150.0,0.59,20
324,China,Brand 0,165.0,165.0,1.07,2
325,India,Brand 66,4.0,4.0,0.5,10
326,USA,Brand 119,191.36,191.36,2.09,39
327,Brazil,Brand 153,120.0,120.0,4.53,26
328,China,Brand 79,130.0,130.0,2.93,35
329,China,Brand 0,120.0,120.0,1.34,5
330,India,Brand 21,100.0,100.0,2.38,29
331,India,Brand 21,100.0,100.0,6.18,20
332,Portugal,Brand 8,75.0,75.0,4.37,35
333,Colombia,Brand 154,85.05,85.05,19.26,8
334,Netherlands,Brand 97,100.0,100.0,7.63,21
335,Belgium,Brand 1,75.0,75.0,3.36,35
336,Belgium,Brand 5,75.0,75.0,4.71,31
337,Thailand,Brand 0,110.0,110.0,3.96,20
338,Vietnam,Brand 155,130.0,130.0,0.32,12
339,France,Brand 156,125.0,125.0,0.59,38
340,Spain,Brand 24,75.0,75.0,3.01,29
341,India,Brand 0,230.0,230.0,0.83,19
342,India,Brand 21,50.0,50.0,5.7,21
343,Netherlands,Brand 63,75.0,75.0,16.15,18
344,Thailand,Brand 157,75.0,75.0,6.17,25
345,Portugal,Brand 21,125.0,125.0,2.18,28
346,Indonesia,Brand 129,65.0,65.0,0.45,32
347,Greece,Brand 93,75.0,75.0,5.41,28
348,Vietnam,Brand 158,200.0,200.0,0.34,19
349,Vietnam,Brand 159,75.0,75.0,0.69,12
350,Indonesia,Brand 1,190.0,190.0,0.51,27
351,France,Brand 160,75.0,75.0,11.73,16
352,UK,Brand 0,100.0,100.0,2.61,30
353,USA,Brand 5,170.1,170.1,2.23,37
354,Ireland,Brand 21,10.0,10.0,79.3,24
355,Ireland,Brand 21,75.0,75.0,5.6,23
356,UK,Brand 0,100.0,100.0,2.98,28
357,India,Brand 9,204.0,204.0,2.07,21
358,India,Brand 161,50.0,50.0,1.78,7
359,Hong Kong - China,Brand 162,40.0,40.0,2.23,24
360,China,Brand 163,100.0,100.0,2.53,21
361,China,Brand 164,100.0,100.0,0.59,6
362,Vietnam,Brand 0,150.0,150.0,0.49,19
363,Italy,Brand 165,75.0,75.0,2.32,34
364,Venezuela,Brand 0,100.0,100.0,2.08,13
365,Saudi Arabia,Brand 21,75.0,75.0,7.8,5
366,Saudi Arabia,Brand 92,125.0,125.0,0.96,35
367,India,Brand 66,145.0,145.0,0.42,18
368,India,Brand 166,150.0,150.0,0.67,13
369,India,Brand 0,150.0,150.0,0.85,28
370,Greece,Brand 21,75.0,75.0,4.03,21
371,Australia,Brand 167,110.0,110.0,3.55,28
372,New Zealand,Brand 0,170.0,170.0,2.11,26
373,USA,Brand 168,99.23,99.23,16.12,30
374,India,Brand 5,155.0,155.0,3.15,21
375,India,Brand 21,100.0,100.0,7.04,1
376,South Korea,Brand 169,120.0,120.0,4.03,0
377,Turkey,Brand 170,100.0,100.0,0.98,20
378,Spain,Brand 171,50.0,50.0,1.78,21
379,Argentina,Brand 21,50.0,50.0,6.14,26
380,Argentina,Brand 172,180.0,180.0,0.59,19
381,India,Brand 68,150.0,150.0,0.83,18
382,China,Brand 173,100.0,100.0,0.66,16
383,Argentina,Brand 21,90.0,90.0,5.21,17
384,China,Brand 2,80.0,80.0,3.3,0
385,China,Brand 174,50.0,50.0,0.96,22
386,Poland,Brand 175,100.0,100.0,1.72,26
387,China,Brand 176,225.0,225.0,0.88,23
388,India,Brand 177,80.0,80.0,0.81,19
389,Poland,Brand 178,125.0,125.0,1.65,25
390,Poland,Brand 5,75.0,75.0,3.44,29
391,Philippines,Brand 179,90.0,90.0,1.04,37
392,China,Brand 180,135.0,135.0,1.03,11
393,Russia,Brand 0,75.0,75.0,2.89,23
394,Brazil,Brand 103,90.0,90.0,0.5,15
395,Brazil,Brand 26,90.0,90.0,1.0,21
396,Spain,Brand 181,75.0,75.0,1.35,27
397,Spain,Brand 21,75.0,75.0,6.8,22
398,Mexico,Brand 0,100.0,100.0,1.02,40
399,China,Brand 182,105.0,105.0,1.44,19
400,Netherlands,Brand 183,125.0,125.0,5.22,22
401,Russia,Brand 184,50.0,50.0,1.98,20
402,USA,Brand 0,130.41,130.41,2.29,38
403,Indonesia,Brand 1,190.0,190.0,0.71,21
404,Belgium,Brand 5,75.0,75.0,6.63,22
405,China,Brand 185,210.0,210.0,0.69,23
406,China,Brand 74,160.0,160.0,1.36,19
407,South Korea,Brand 131,130.0,130.0,4.65,0
408,Brazil,Brand 186,100.0,100.0,1.08,14
409,Sweden,Brand 1,75.0,75.0,5.87,29
410,Vietnam,Brand 69,75.0,75.0,2.89,31
411,Vietnam,Brand 12,160.0,160.0,1.16,21
412,Italy,Brand 187,125.0,125.0,0.54,23
413,China,Brand 188,120.0,120.0,3.63,27
414,Japan,Brand 189,75.0,75.0,27.36,17
415,Portugal,Brand 0,75.0,75.0,5.79,25
416,Portugal,Brand 8,75.0,75.0,4.99,31
417,Czech Republic,Brand 21,20.0,20.0,10.25,21
418,Russia,Brand 190,100.0,100.0,0.75,24
419,Canada,Brand 5,85.0,85.0,3.05,34
420,Czech Republic,Brand 61,100.0,100.0,1.2,14
421,Russia,Brand 53,75.0,75.0,0.92,20
422,Russia,Brand 191,100.0,100.0,1.22,17
423,Russia,Brand 112,74.0,74.0,7.8,26
424,Russia,Brand 0,100.0,100.0,1.99,30
425,Brazil,Brand 192,100.0,100.0,8.49,21
426,Spain,Brand 193,75.0,75.0,10.36,22
427,Germany,Brand 21,75.0,75.0,2.05,23
428,USA,Brand 194,113.4,113.4,3.08,31
429,Vietnam,Brand 1,110.0,110.0,0.38,20
430,Vietnam,Brand 195,120.0,120.0,0.73,19
431,France,Brand 24,150.0,75.0,3.55,33
432,Czech Republic,Brand 124,150.0,150.0,0.7,19
433,Russia,Brand 52,75.0,75.0,6.92,60
434,USA,Brand 0,130.41,130.41,1.91,29
435,India,Brand 196,300.0,300.0,0.73,18
436,Canada,Brand 9,120.0,120.0,2.83,22
437,UK,Brand 197,75.0,75.0,5.84,24
438,Australia,Brand 198,110.0,110.0,4.31,23
439,Russia,Brand 57,63.0,63.0,0.94,25
440,Russia,Brand 199,50.0,50.0,5.14,23
441,China,Brand 200,220.0,220.0,0.72,15
442,China,Brand 201,100.0,100.0,0.57,17
443,China,Brand 202,180.0,180.0,0.97,18
444,South Korea,Brand 2,130.0,130.0,5.2,0
445,South Korea,Brand 131,130.0,130.0,5.63,11
446,Italy,Brand 156,100.0,100.0,1.22,23
447,Italy,Brand 203,50.0,50.0,2.58,23
448,Hong Kong - China,Brand 195,120.0,120.0,1.98,21
449,China,Brand 204,150.0,150.0,0.65,19
450,China,Brand 205,,180.0,2.85,12
451,Hong Kong - China,Brand 206,75.0,75.0,20.0,15
452,Indonesia,Brand 21,50.0,50.0,11.34,21
453,South Korea,Brand 207,115.0,115.0,6.22,0
454,Argentina,Brand 31,113.0,113.0,3.84,21
455,China,Brand 208,280.0,140.0,1.83,25
456,China,Brand 209,100.0,100.0,1.29,18
457,USA,Brand 9,107.73,107.73,1.85,26
458,Vietnam,Brand 210,150.0,150.0,1.67,28
459,Venezuela,Brand 0,100.0,100.0,2.9,31
460,Venezuela,Brand 0,75.0,75.0,4.57,20
461,Norway,Brand 211,113.0,113.0,5.86,30
462,China,Brand 201,160.0,160.0,0.91,16
463,China,Brand 212,115.0,115.0,0.49,5
464,India,Brand 68,150.0,150.0,0.79,3
465,Chile,Brand 213,134.0,134.0,0.42,34
466,Switzerland,Brand 214,75.0,75.0,4.57,34
467,Spain,Brand 91,75.0,75.0,9.35,30
468,Brazil,Brand 5,90.0,90.0,1.49,19
469,Colombia,Brand 0,75.0,75.0,9.69,20
470,India,Brand 215,50.0,50.0,1.52,26
471,Netherlands,Brand 21,75.0,75.0,7.04,23
472,Spain,Brand 127,75.0,75.0,1.21,26
473,Denmark,Brand 0,150.0,75.0,3.57,27
474,Italy,Brand 5,300.0,75.0,8.19,31
475,Indonesia,Brand 0,200.0,200.0,1.82,34
476,South Africa,Brand 0,50.0,50.0,2.3,24
477,Philippines,Brand 0,75.0,75.0,4.44,30
478,Czech Republic,Brand 124,45.0,45.0,1.07,9
479,India,Brand 0,150.0,150.0,0.76,14
480,Thailand,Brand 216,40.0,40.0,4.93,9
481,Thailand,Brand 217,90.0,90.0,1.33,22
482,Vietnam,Brand 0,160.0,160.0,0.58,23
483,UK,Brand 9,100.0,100.0,2.97,19
484,India,Brand 68,300.0,300.0,0.55,22
485,Brazil,Brand 218,90.0,90.0,1.46,15
486,South Africa,Brand 0,75.0,75.0,4.77,20
487,Brazil,Brand 0,270.0,90.0,0.67,19
488,China,Brand 106,180.0,180.0,0.72,23
489,Brazil,Brand 219,50.0,50.0,6.7,28
490,UK,Brand 220,100.0,100.0,5.85,21
491,Japan,Brand 143,140.0,140.0,1.54,15
492,Ireland,Brand 221,100.0,100.0,6.47,17
493,Australia,Brand 0,110.0,110.0,6.93,37
494,Vietnam,Brand 93,50.0,50.0,4.42,19
495,Chile,Brand 0,2218.01,2218.01,0.03,28
496,Vietnam,Brand 93,75.0,75.0,1.89,25
497,China,Brand 222,60.0,60.0,5.9,13
498,China,Brand 141,150.0,150.0,2.25,26
499,India,Brand 0,80.0,80.0,1.2,23
500,Vietnam,Brand 223,50.0,50.0,2.06,19
501,Denmark,Brand 0,50.0,50.0,4.34,23
502,Switzerland,Brand 5,75.0,75.0,5.09,27
503,Vietnam,Brand 224,200.0,200.0,0.32,17
504,China,Brand 225,100.0,100.0,2.9,13
505,Philippines,Brand 226,75.0,75.0,2.84,26
506,Chile,Brand 227,90.0,90.0,1.92,22
507,Italy,Brand 228,75.0,75.0,7.88,25
508,Italy,Brand 187,100.0,100.0,0.82,26
509,Belgium,Brand 21,75.0,75.0,7.31,22
510,China,Brand 229,135.0,135.0,3.25,11
511,Chile,Brand 21,158.8,158.8,1.85,32
512,Chile,Brand 0,30.0,30.0,13.8,24
513,Mexico,Brand 230,140.0,140.0,0.83,44
514,Mexico,Brand 230,100.0,100.0,1.16,29
515,Malaysia,Brand 231,250.0,250.0,1.19,18
516,India,Brand 9,50.0,50.0,22.24,26
517,France,Brand 63,75.0,75.0,9.43,18
518,France,Brand 232,50.0,50.0,13.48,22
519,Brazil,Brand 1,90.0,90.0,0.88,21
520,Poland,Brand 1,75.0,75.0,3.17,29
521,Spain,Brand 0,75.0,75.0,3.65,30
522,India,Brand 215,100.0,100.0,1.18,22
523,South Africa,Brand 233,75.0,75.0,7.77,20
524,Poland,Brand 24,125.0,125.0,1.42,35
525,Poland,Brand 156,100.0,100.0,0.8,23
526,Poland,Brand 156,125.0,125.0,0.47,36
527,Poland,Brand 0,75.0,75.0,5.15,19
528,Austria,Brand 234,75.0,75.0,6.77,25
